"","ID","Date","Likes","Comment"
"88",88,"2022-01-07 04:05:35",2,"my friends used this in class and you see me pointing at myself"
"89",89,"2022-01-07 04:05:59",2,"in the backround"
"90",90,"2022-01-08 09:37:33",2,"you boyfriend"
"91",91,"2022-01-08 14:31:59",2,"she like him because she only do video with him the most"
"92",92,"2022-01-09 12:57:52",2,"Hi there 😁"
"93",93,"2022-01-09 19:23:39",2,"girl"
"94",94,"2022-01-10 00:03:36",2,"hi kikakiim l love yuo guys"
"95",95,"2022-01-10 16:23:46",2,"Cute 😍😍😍😍😍😍😍"
"96",96,"2022-01-11 05:06:16",2,"none of yall"
"97",97,"2022-01-11 05:07:16",2,"Neither one is.…💀"
"98",98,"2022-01-11 20:40:39",2,"So talented"
"99",99,"2022-01-12 14:56:09",2,"Love 😩♥️🇸🇦"
"100",100,"2022-01-12 23:26:35",2,"Y’all should be together"
